Title;Room;Start;End
Semestereinführung 4. Sem.;Online-Vorlesung;10.1.2022, 09:30:00;10.1.2022, 11:30:00
Einführung Compilerbau;Online-Vorlesung;10.1.2022, 13:00:00;10.1.2022, 16:15:00
Einführung Compilerbau;Online-Vorlesung;11.1.2022, 13:00:00;11.1.2022, 16:15:00
Einführung Compilerbau;Online-Vorlesung;12.1.2022, 13:00:00;12.1.2022, 16:15:00
Datenbanken I;Online-Vorlesung;13.1.2022, 09:00:00;13.1.2022, 12:15:00
Einführung Compilerbau;Online-Vorlesung;13.1.2022, 13:00:00;13.1.2022, 16:15:00
Einführung Compilerbau;Online-Vorlesung;14.1.2022, 13:00:00;14.1.2022, 16:15:00
Datenbanken I;Online-Vorlesung;17.1.2022, 09:00:00;17.1.2022, 12:15:00
Einführung Compilerbau;Online-Vorlesung;17.1.2022, 13:00:00;17.1.2022, 16:15:00
Web-Services;Online-Vorlesung;18.1.2022, 13:00:00;18.1.2022, 16:15:00
Statistik;Online-Vorlesung;19.1.2022, 09:00:00;19.1.2022, 12:15:00
Labor Industrie 4.0;Online-Vorlesung;20.1.2022, 09:00:00;20.1.2022, 12:15:00
Einführung Compilerbau;Online-Vorlesung;20.1.2022, 13:00:00;20.1.2022, 16:15:00
Einführung Compilerbau;Online-Vorlesung;21.1.2022, 13:00:00;21.1.2022, 16:15:00
Betriebssysteme;Online-Vorlesung;24.1.2022, 09:00:00;24.1.2022, 12:15:00
Web-Services;Online-Vorlesung;25.1.2022, 13:00:00;25.1.2022, 16:15:00
Statistik;Online-Vorlesung;26.1.2022, 09:00:00;26.1.2022, 12:15:00
Rechnerarchitekturen 1;Online-Vorlesung;27.1.2022, 09:00:00;27.1.2022, 12:15:00
Datenbanken I;Online-Vorlesung;27.1.2022, 13:00:00;27.1.2022, 17:15:00
Betriebssysteme;Online-Vorlesung;31.1.2022, 09:00:00;31.1.2022, 12:15:00
Datenbanken I;Online-Vorlesung;31.1.2022, 13:00:00;31.1.2022, 17:15:00
Labor Industrie 4.0;Online-Vorlesung;1.2.2022, 09:00:00;1.2.2022, 12:15:00
Labor Industrie 4.0;Online-Vorlesung;1.2.2022, 13:00:00;1.2.2022, 16:15:00
Statistik;Online-Vorlesung;2.2.2022, 09:00:00;2.2.2022, 12:15:00
IT-Sicherheit;Online-Vorlesung;2.2.2022, 13:15:00;2.2.2022, 17:30:00
Rechnerarchitekturen 1;Online-Vorlesung;3.2.2022, 09:00:00;3.2.2022, 12:15:00
IT-Sicherheit;Online-Vorlesung;4.2.2022, 08:00:00;4.2.2022, 12:15:00
IT-Sicherheit;Online-Vorlesung;7.2.2022, 08:00:00;7.2.2022, 12:15:00
Rechnerarchitekturen 1;Online-Vorlesung;7.2.2022, 13:00:00;7.2.2022, 16:15:00
Web-Services;Online-Vorlesung;8.2.2022, 13:00:00;8.2.2022, 16:15:00
Statistik;Online-Vorlesung;9.2.2022, 09:00:00;9.2.2022, 12:15:00
IT-Sicherheit;Online-Vorlesung;9.2.2022, 13:15:00;9.2.2022, 17:30:00
IT-Sicherheit;Online-Vorlesung;10.2.2022, 08:00:00;10.2.2022, 12:15:00
IT-Sicherheit;Online-Vorlesung;10.2.2022, 13:15:00;10.2.2022, 17:30:00
IT-Sicherheit;Online-Vorlesung;11.2.2022, 08:00:00;11.2.2022, 12:15:00
IT-Sicherheit;Online-Vorlesung;11.2.2022, 13:15:00;11.2.2022, 17:30:00
Betriebssysteme;Online-Vorlesung;14.2.2022, 09:00:00;14.2.2022, 12:15:00
Datenbanken I;Online-Vorlesung;14.2.2022, 13:00:00;14.2.2022, 17:15:00
Grundlagen des Software-Engineering;Online-Vorlesung;15.2.2022, 08:00:00;15.2.2022, 12:15:00
Web-Services;Online-Vorlesung;15.2.2022, 13:00:00;15.2.2022, 16:15:00
Statistik;Online-Vorlesung;16.2.2022, 09:00:00;16.2.2022, 12:15:00
Rechnerarchitekturen 1;Online-Vorlesung;16.2.2022, 13:00:00;16.2.2022, 16:15:00
Rechnerarchitekturen 1;Online-Vorlesung;17.2.2022, 09:00:00;17.2.2022, 12:15:00
Grundlagen des Software-Engineering;Online-Vorlesung;21.2.2022, 08:00:00;21.2.2022, 12:15:00
Grundlagen des Software-Engineering;Online-Vorlesung;22.2.2022, 08:00:00;22.2.2022, 12:15:00
Web-Services;Online-Vorlesung;22.2.2022, 13:00:00;22.2.2022, 16:15:00
Grundlagen des Software-Engineering;Online-Vorlesung;23.2.2022, 08:00:00;23.2.2022, 12:15:00
Grundlagen des Software-Engineering;Online-Vorlesung;23.2.2022, 13:15:00;23.2.2022, 17:30:00
Grundlagen des Software-Engineering;Online-Vorlesung;24.2.2022, 08:00:00;24.2.2022, 12:15:00
Grundlagen des Software-Engineering;Online-Vorlesung;24.2.2022, 13:15:00;24.2.2022, 17:30:00
Grundlagen des Software-Engineering;Online-Vorlesung;25.2.2022, 08:00:00;25.2.2022, 12:15:00
Grundlagen des Software-Engineering;Online-Vorlesung;25.2.2022, 13:15:00;25.2.2022, 17:30:00
Betriebssysteme;Online-Vorlesung;28.2.2022, 09:00:00;28.2.2022, 12:15:00
Datenbanken I;Online-Vorlesung;28.2.2022, 13:00:00;28.2.2022, 17:15:00
Statistik;Online-Vorlesung;1.3.2022, 09:00:00;1.3.2022, 12:15:00
Web-Services;Online-Vorlesung;1.3.2022, 13:00:00;1.3.2022, 16:15:00
Statistik;Online-Vorlesung;2.3.2022, 09:00:00;2.3.2022, 12:15:00
IT-Sicherheit;Online-Vorlesung;3.3.2022, 08:00:00;3.3.2022, 12:15:00
Rechnerarchitekturen 1;Online-Vorlesung;3.3.2022, 13:00:00;3.3.2022, 16:15:00
Betriebssysteme;Online-Vorlesung;4.3.2022, 09:00:00;4.3.2022, 12:15:00
Betriebssysteme;Online-Vorlesung;7.3.2022, 09:00:00;7.3.2022, 12:15:00
Rechnerarchitekturen 1;Online-Vorlesung;7.3.2022, 13:00:00;7.3.2022, 16:15:00
Datenbanken I;Online-Vorlesung;8.3.2022, 13:00:00;8.3.2022, 17:15:00
Statistik;Online-Vorlesung;9.3.2022, 09:00:00;9.3.2022, 12:15:00
Web-Services;Online-Vorlesung;10.3.2022, 13:00:00;10.3.2022, 16:15:00
Betriebssysteme;Online-Vorlesung;11.3.2022, 09:00:00;11.3.2022, 12:15:00
Betriebssysteme;Online-Vorlesung;14.3.2022, 09:00:00;14.3.2022, 12:15:00
Web-Services;Online-Vorlesung;14.3.2022, 13:00:00;14.3.2022, 16:15:00
Rechnerarchitekturen 1;Online-Vorlesung;15.3.2022, 09:00:00;15.3.2022, 12:15:00
Statistik;Online-Vorlesung;16.3.2022, 09:00:00;16.3.2022, 12:15:00
Rechnerarchitekturen 1;Online-Vorlesung;17.3.2022, 13:00:00;17.3.2022, 16:15:00
Betriebssysteme;Online-Vorlesung;18.3.2022, 09:45:00;18.3.2022, 12:15:00
Präsentation Web-Services;undefined;21.3.2022, 09:00:00;21.3.2022, 12:15:00
Klausur Technische Informatik II;undefined;24.3.2022, 09:00:00;24.3.2022, 11:00:00
Klausur Mathematik II;undefined;28.3.2022, 09:00:00;28.3.2022, 10:30:00
Prüfungswahl Datenbanken;undefined;29.3.2022, 09:00:00;29.3.2022, 10:30:00
Klausur IT-Sicherheit;undefined;31.3.2022, 09:00:00;31.3.2022, 10:30:00
